Student_ID,CP,DSA,DBMS,MP,COA,SE,CNS,OS,WEBDEV,AUTOMATA,Preference Of Elective,Alloted Elective,Marks In Alloted Elective,CGPA
SID20137026,79,95,100,91,97,62,100,78,92,92,SVV,SVV,91,88.6
SID20178543,99,92,77,84,71,85,79,98,99,87,CC,CC,60,87.1
SID20138999,52,93,80,96,90,99,93,91,96,79,CS,CS,90,86.9
SID20131184,61,93,95,19,72,59,59,61,85,70,IOT,IOT,58,67.4
SID20152052,65,76,96,96,100,99,95,75,92,92,ML,ML,60,88.6
SID20131191,63,54,100,59,69,47,77,96,62,52,NLP,NLP,56,67.9
SID20149078,97,96,83,60,98,82,100,91,99,97,AR_VR,AR_VR,43,90.3
SID20171190,93,67,90,95,71,96,95,86,96,47,SVV,SVV,19,83.6
SID20147809,98,82,98,53,67,80,97,86,100,99,CC,CC,51,86
SID20176967,85,86,63,93,93,64,93,97,93,86,CS,CS,68,85.3
SID20131246,42,60,91,57,41,96,86,88,41,47,IOT,IOT,80,64.9
SID20159927,99,98,61,71,67,99,99,93,80,100,ML,ML,45,86.7
SID20131278,86,73,87,61,77,89,93,50,94,80,NLP,NLP,91,79
SID20164748,94,66,83,88,99,87,98,92,60,100,AR_VR,AR_VR,65,86.7
SID20132830,86,99,98,99,93,97,72,81,55,57,CC,CC,63,83.7
SID20158517,72,79,91,84,99,90,74,97,82,78,CS,CS,78,84.6
SID20131420,40,50,40,99,84,60,82,42,90,76,IOT,IOT,69,66.3
SID20183160,91,69,98,97,90,96,88,94,52,91,ML,ML,44,86.6
SID20131438,76,41,100,49,87,67,69,59,99,77,NLP,NLP,95,72.4
SID20188964,94,87,97,87,90,80,84,89,58,97,AR_VR,AR_VR,54,86.3
SID20167831,85,83,86,73,81,62,100,92,88,75,SVV,SVV,59,82.5
SID20142437,91,92,81,64,95,86,70,96,99,60,CC,CC,96,83.4
SID20187867,100,72,68,88,67,93,95,84,80,89,CS,CS,80,83.6
SID20188687,100,83,66,98,100,64,62,89,99,86,AR_VR,AR_VR,65,84.7
SID20169543,84,79,76,94,70,71,66,93,73,100,SVV,SVV,92,80.6
SID20141728,81,68,97,72,97,73,71,90,99,80,CC,CC,87,82.8
SID20162122,92,60,85,81,74,70,94,95,99,85,CS,CS,98,83.5
SID20131675,86,83,90,66,63,56,47,55,83,65,IOT,IOT,70,69.4
SID20132928,70,100,99,79,72,73,97,80,87,100,ML,ML,93,85.7
SID20131753,80,63,97,41,82,62,70,58,94,87,NLP,NLP,58,73.4
SID20148548,95,87,80,94,85,62,82,81,79,90,AR_VR,AR_VR,54,83.5
SID20153346,51,88,77,99,73,87,71,91,95,92,CC,CC,55,82.4
SID20164120,40,84,73,86,98,89,91,94,79,95,CS,CS,99,82.9
SID20163436,74,89,89,83,87,45,83,98,95,81,AR_VR,AR_VR,63,82.4
SID20166616,79,100,88,69,90,100,92,43,93,67,CC,CC,81,82.1
SID20183528,81,86,85,86,88,67,94,56,93,93,CS,CS,47,82.9
SID20131830,90,46,93,80,83,73,51,83,42,84,IOT,IOT,75,72.5
SID20183927,90,92,82,63,95,83,76,72,91,99,ML,ML,82,84.3
SID20131862,91,79,99,96,85,92,76,61,89,92,NLP,NLP,92,86
SID20156260,78,96,87,93,77,76,66,76,81,91,AR_VR,AR_VR,60,82.1
SID20148611,96,77,94,77,59,98,100,82,59,86,CS,CS,93,82.8
SID20131889,73,52,76,55,48,82,69,60,80,45,IOT,IOT,81,64
SID20135073,85,89,94,98,100,41,92,67,99,77,ML,ML,56,84.2
SID20131936,93,53,83,63,69,93,41,42,76,45,NLP,NLP,57,65.8
SID20186297,100,83,81,78,60,90,77,67,90,94,AR_VR,AR_VR,86,82
SID20188558,45,59,90,91,89,93,89,92,91,80,CC,CC,89,81.9
SID20151284,79,80,81,86,89,92,54,99,82,85,CS,CS,93,82.7
SID20132511,87,90,48,86,96,91,92,58,100,70,AR_VR,AR_VR,91,81.8
SID20163541,96,97,91,41,93,63,91,99,66,77,CC,CC,92,81.4
SID20172675,57,76,98,91,86,86,82,69,94,87,CS,CS,55,82.6
SID20132013,52,79,79,59,57,73,67,69,46,43,IOT,IOT,59,62.4
SID20186758,82,49,60,89,96,83,87,87,98,93,ML,ML,80,82.4
SID20158455,88,82,60,97,97,95,58,90,96,57,ML,ML,69,82
SID20132171,87,85,40,47,53,64,71,95,55,91,NLP,NLP,42,68.8
SID20173629,71,62,58,91,72,93,87,84,98,98,AR_VR,AR_VR,46,81.4
SID20142348,94,55,55,99,96,94,88,87,69,76,CC,CC,100,81.3
SID20145927,67,85,85,100,88,99,66,94,79,62,CS,CS,47,82.5
SID20163035,74,51,87,89,100,93,92,66,94,57,AR_VR,AR_VR,40,80.3
SID20187499,69,64,93,91,65,72,63,96,100,100,CC,CC,77,81.3
SID20185516,82,92,91,95,98,51,78,58,92,86,CS,CS,51,82.3
SID20132356,85,65,55,85,98,57,98,91,100,58,IOT,IOT,97,79.2
SID20138683,73,96,94,98,60,80,75,78,74,89,ML,ML,54,81.7
SID20152460,55,93,94,75,95,77,77,86,82,87,CS,CS,56,82.1
SID20172281,86,63,74,99,78,70,90,89,57,96,AR_VR,AR_VR,88,80.2
SID20153720,62,52,87,84,100,85,73,86,97,84,CC,CC,81,81
SID20154892,65,73,83,96,95,94,64,85,68,91,CS,CS,98,81.4
SID20187408,58,74,97,60,95,83,50,87,98,100,AR_VR,AR_VR,57,80.2
SID20151492,92,73,96,100,69,97,66,58,61,96,CC,CC,73,80.8
SID20143840,75,91,86,95,53,82,87,86,67,90,CS,CS,44,81.2
SID20132572,54,42,53,44,84,45,64,46,88,40,IOT,IOT,77,56
SID20141759,64,54,95,68,60,98,89,94,100,95,ML,ML,88,81.7
SID20131618,95,66,90,99,100,97,43,93,83,44,CS,CS,93,81
SID20139653,52,95,100,71,76,59,95,84,94,75,AR_VR,AR_VR,99,80.1
SID20151682,94,49,91,75,73,97,84,98,97,47,CC,CC,98,80.5
SID20164566,85,86,72,54,91,94,59,96,66,100,CC,CC,71,80.3
SID20159227,90,99,81,82,89,81,67,72,53,95,CS,CS,89,80.9
SID20132735,66,52,86,64,55,45,87,82,76,52,IOT,IOT,44,66.5
SID20152940,100,98,96,75,40,77,76,85,90,80,ML,ML,86,81.7
SID20139016,87,51,97,53,81,89,86,88,92,84,CS,CS,46,80.8
SID20155548,86,94,62,88,91,73,58,82,86,81,AR_VR,AR_VR,69,80.1
SID20153880,88,60,96,95,63,99,68,72,72,84,CC,CC,51,79.7
SID20166621,100,75,88,86,72,69,87,94,93,44,CS,CS,66,80.8
SID20151401,96,93,89,89,49,97,59,52,95,79,AR_VR,AR_VR,89,79.8
SID20172712,69,84,77,65,87,88,87,84,63,92,CC,CC,54,79.6
SID20175066,97,73,95,68,85,46,91,96,94,59,CS,CS,63,80.4
SID20167845,97,88,64,46,78,98,98,74,91,82,ML,ML,61,81.6
